student_id	year	college	major
232	2021	Morse College	Undeclared
233	2022	Jonathan Edwards College	Undeclared
234	2019	Benjamin Franklin College	Molecular Biophysics & Biochem
235	2021	Saybrook College	Computer Science & Psychology
236	2021	Morse College	Undeclared
237	2019	Silliman College	History
238	2021	Silliman College	Economics
239	2021	Jonathan Edwards College	East Asian Studies
240	2022	Jonathan Edwards College	Undeclared
241	2020	Jonathan Edwards College	Political Science
242	2020	Saybrook College	Environmental Studies
243	2022	Davenport College	Undeclared
244	2021	Benjamin Franklin College	Undeclared
245	2021	Trumbull College	Undeclared
246	2019	Trumbull College	Computer Science
247	2020	Benjamin Franklin College	Molecular,Cellular,Dev Biology
248	2022	Berkeley College	Undeclared
249	2020	Jonathan Edwards College	Anthropology
250	2019	Grace Hopper College	Near Eastern Languages & Civs
251	2020	Branford College	Ethnicity, Race & Migration
252	2020	Pauli Murray College	Political Science
253	2020	Pierson College	Economics
254	2019	Trumbull College	Environmental Studies
255	2021	Benjamin Franklin College	Economics
256	2022	Benjamin Franklin College	Undeclared
257	2020	Ezra Stiles College	Economics
258	2021	Timothy Dwight College	Undeclared
259	2021	Benjamin Franklin College	Undeclared
260	2019	Timothy Dwight College	Chemistry (Int.)
261	2021	Morse College	Computer Science
262	2019	Silliman College	Psychology
263	2022	Timothy Dwight College	Undeclared
264	2021	Benjamin Franklin College	Undeclared
265	2021	Trumbull College	Undeclared
266	2022	Benjamin Franklin College	Undeclared
267	2022	Jonathan Edwards College	Undeclared
268	2021	Morse College	Undeclared
269	2020	Davenport College	History
270	2020	Berkeley College	Molecular Biophysics & Biochem
271	2022	Silliman College	Undeclared
272	2021	Pauli Murray College	Undeclared
273	2020	Saybrook College	American Studies
274	2019	Pauli Murray College	None
275	2022	Pierson College	Undeclared
276	2020	Ezra Stiles College	Mathematics
277	2020	Grace Hopper College	Psychology
278	2019	Davenport College	History Science, Medicine & PH
279	2021	Berkeley College	Undeclared
280	2021	Berkeley College	Geology & Geophysics
281	2021	Branford College	English
282	2021	Davenport College	Undeclared
283	2020	Silliman College	Molecular,Cellular,Dev Biology
284	2021	Davenport College	Political Science
285	2021	Trumbull College	Undeclared
286	2021	Benjamin Franklin College	Undeclared
287	2022	Saybrook College	Undeclared
288	2020	Saybrook College	Biomedical Engineering
289	2022	Pauli Murray College	Undeclared
290	2022	Saybrook College	Undeclared
291	2020	Trumbull College	Molecular,Cellular,Dev Biology
292	2021	Davenport College	East Asian Languages & Lits
293	2021	Benjamin Franklin College	Undeclared
294	2019	Branford College	Political Science
295	2020	Davenport College	English
296	2020	Jonathan Edwards College	Sociology
297	2022	Grace Hopper College	Undeclared
298	2022	Davenport College	Undeclared
299	2019	Timothy Dwight College	Economics
300	2020	Benjamin Franklin College	Mathematics & Physics
301	2021	Jonathan Edwards College	Women'sGender&SexualityStudies;
302	2019	Trumbull College	Political Science
303	2022	Trumbull College	Undeclared
304	2021	Jonathan Edwards College	Undeclared
305	2020	Saybrook College	Global Affairs
306	2020	Saybrook College	Global Affairs
307	2022	Trumbull College	Undeclared
308	2020	Pierson College	Ethnicity, Race & Migration
309	2021	Jonathan Edwards College	Undeclared
310	2019	Grace Hopper College	History of Art
311	2019	Pierson College	Music
312	2022	Ezra Stiles College	Undeclared
313	2020	Pierson College	English
314	2022	Silliman College	Undeclared
315	2019	Morse College	Cognitive Science
316	2020	Morse College	Political Science
317	2019	Morse College	Mechanical Engineering
318	2020	Branford College	Art
319	2021	Pauli Murray College	Economics
320	2020	Grace Hopper College	Political Science
321	2021	Benjamin Franklin College	Undeclared
322	2020	Trumbull College	Mechanical Engineering
323	2021	Berkeley College	Sociology (Int.)
324	2021	Saybrook College	Biomedical Engineering
325	2020	Davenport College	Ecology & Evolutionary Biology
326	2021	Davenport College	Undeclared
327	2019	Davenport College	Economics & Mathematics
328	2020	Grace Hopper College	Undeclared
329	2022	Trumbull College	Undeclared
330	2019	Pauli Murray College	Global Affairs
331	2022	Pauli Murray College	Undeclared
332	2020	Jonathan Edwards College	Ethics,Politics & Economics
333	2022	Timothy Dwight College	Undeclared
334	2021	Grace Hopper College	Music
335	2021	Grace Hopper College	Undeclared
336	2021	Saybrook College	Art
337	2021	Saybrook College	Undeclared
338	2021	Trumbull College	Undeclared
339	2022	Pauli Murray College	Undeclared
340	2019	Pauli Murray College	Biomedical Engineering
341	2022	Silliman College	Undeclared
342	2022	Pauli Murray College	Undeclared
343	2022	Timothy Dwight College	Undeclared
344	2021	Timothy Dwight College	Film and Media Studies
345	2019	Branford College	Economics
346	2020	Davenport College	Mechanical Engineering
347	2020	Pauli Murray College	Economics
348	2020	Grace Hopper College	Philosophy
349	2022	Ezra Stiles College	Undeclared
350	2022	Morse College	Undeclared
351	2022	Benjamin Franklin College	Undeclared
352	2021	Benjamin Franklin College	Undeclared
353	2019	Pauli Murray College	Economics & Mathematics
354	2021	Berkeley College	Undeclared
355	2021	Silliman College	Undeclared
356	2019	Ezra Stiles College	Political Science
357	2020	Trumbull College	Undeclared
358	2019	Pierson College	Political Science
359	2021	Jonathan Edwards College	Undeclared
360	2022	Davenport College	Undeclared
361	2020	Davenport College	American Studies
362	2021	Benjamin Franklin College	Undeclared
363	2019	Jonathan Edwards College	Elec.Engineering/Computer Sci
364	2021	Davenport College	History
365	2021	Ezra Stiles College	Undeclared
366	2020	Davenport College	Ethics,Politics & Economics
367	2020	Grace Hopper College	Cognitive Science
368	2020	Silliman College	Cognitive Science
369	2021	Pauli Murray College	Engineering Science-Chemical
370	2019	Silliman College	Mathematics & Philosophy
371	2020	Pierson College	Computing and the Arts
372	2019	Saybrook College	Molecular,Cellular,Dev Biology
373	2021	Timothy Dwight College	Computer Science
374	2021	Jonathan Edwards College	Political Science
375	2021	Pauli Murray College	Chemistry
376	2020	Pierson College	Economics
377	2020	Pauli Murray College	Economics
378	2020	Pauli Murray College	Psychology
379	2020	Jonathan Edwards College	Global Affairs
380	2020	Branford College	Psychology
381	2022	Pauli Murray College	Undeclared
382	2022	Benjamin Franklin College	Undeclared
383	2019	Ezra Stiles College	Computer Science & Mathematics
384	2022	Davenport College	Undeclared
385	2022	Ezra Stiles College	Undeclared
386	2022	Ezra Stiles College	Undeclared
387	2022	Timothy Dwight College	Undeclared
388	2020	Branford College	Economics
389	2020	Pierson College	Environmental Studies
390	2022	Jonathan Edwards College	Undeclared
391	2020	Trumbull College	English
392	2022	Morse College	Undeclared
393	2021	Morse College	Music
394	2019	Jonathan Edwards College	Psychology
395	2020	Timothy Dwight College	Classics
396	2019	Trumbull College	Biomedical Engineering
397	2019	Trumbull College	History
398	2020	Branford College	Computer Science
399	2020	Morse College	Economics
400	2022	Trumbull College	Undeclared
401	2022	Davenport College	Undeclared
402	2019	Ezra Stiles College	History
403	2020	Berkeley College	Political Science
404	2021	Morse College	Undeclared
405	2020	Davenport College	Psychology
406	2022	Saybrook College	Undeclared
407	2021	Saybrook College	Undeclared
408	2021	Grace Hopper College	Undeclared
409	2019	Jonathan Edwards College	Computer Science
410	2021	Branford College	Mathematics
411	2019	Silliman College	Applied Mathematics
412	2022	Benjamin Franklin College	Undeclared
413	2019	Timothy Dwight College	Economics
414	2020	Pierson College	Astrophysics
415	2019	Berkeley College	History Science, Medicine & PH
416	2022	Morse College	Undeclared
417	2021	Timothy Dwight College	Undeclared
418	2019	Branford College	Molecular,Cellular,Dev Biology
419	2020	Grace Hopper College	Political Science
420	2021	Pauli Murray College	Elec.Engineering/Computer Sci
421	2022	Morse College	Undeclared
422	2019	Benjamin Franklin College	Chemistry
423	2021	Jonathan Edwards College	Undeclared
424	2022	Benjamin Franklin College	Undeclared
425	2020	Trumbull College	Political Science
426	2021	Benjamin Franklin College	Economics
427	2022	Silliman College	Undeclared
428	2021	Branford College	Undeclared
429	2022	Pierson College	Undeclared
430	2021	Saybrook College	Undeclared
431	2019	Berkeley College	Neuroscience
432	2022	Pauli Murray College	Undeclared
433	2019	Ezra Stiles College	Molecular Biophysics & Biochem
434	2022	Timothy Dwight College	Undeclared
435	2019	Berkeley College	Economics
436	2021	Pierson College	Undeclared
437	2022	Morse College	Undeclared
438	2020	Ezra Stiles College	Political Science
439	2019	Pierson College	Humanities
440	2022	Trumbull College	Undeclared
441	2022	Ezra Stiles College	Undeclared
442	2019	Pierson College	Molecular,Cellular,Dev Biology
